office	date	dem
ak-senate-class-ii-2014	4-Jul-14	50.3674774170365
al-senate-class-ii-2014	4-Jul-14	3.47245014222758e-10
ar-senate-class-ii-2014	4-Jul-14	52.4044134548764
co-senate-class-ii-2014	4-Jul-14	72.6681977723036
de-senate-class-ii-2014	4-Jul-14	97.7855229886911
ga-senate-class-ii-2014	4-Jul-14	29.0085763903535
hi-senate-class-iii-2014	4-Jul-14	99.6933421544829
ia-senate-class-ii-2014	4-Jul-14	90.9231618774308
id-senate-class-ii-2014	4-Jul-14	0.0229597213817556
il-senate-class-ii-2014	4-Jul-14	99.2760564130351
ks-senate-class-ii-2014	4-Jul-14	0.575025668004333
ky-senate-class-ii-2014	4-Jul-14	19.9819715073099
la-senate-class-ii-2014	4-Jul-14	35.9284870388631
ma-senate-class-ii-2014	4-Jul-14	98.1550185964653
me-senate-class-ii-2014	4-Jul-14	1.51489039732198
mi-senate-class-ii-2014	4-Jul-14	50.6643247665306
mn-senate-class-ii-2014	4-Jul-14	97.7084983663567
ms-senate-class-ii-2014	4-Jul-14	7.68477517917098
mt-senate-class-ii-2014	4-Jul-14	8.04562184613478
nc-senate-class-ii-2014	4-Jul-14	47.4870089645101
ne-senate-class-ii-2014	4-Jul-14	3.27564360313059
nh-senate-class-ii-2014	4-Jul-14	94.424871549052
nj-senate-class-ii-2014	4-Jul-14	99.2158343130324
nm-senate-class-ii-2014	4-Jul-14	99.8747378934465
ok-senate-class-ii-2014	4-Jul-14	0.0235964007188933
ok-senate-class-iii-2014	4-Jul-14	1.3411462822722e-06
or-senate-class-ii-2014	4-Jul-14	97.8227823546929
ri-senate-class-ii-2014	4-Jul-14	99.9947571144048
sc-senate-class-ii-2014	4-Jul-14	4.8608840246372
sc-senate-class-iii-2014	4-Jul-14	1.99308273170337
sd-senate-class-ii-2014	4-Jul-14	0.916556665037368
tn-senate-class-ii-2014	4-Jul-14	1.63629803702292
tx-senate-class-ii-2014	4-Jul-14	0.131627939088408
va-senate-class-ii-2014	4-Jul-14	99.958632649163
wv-senate-class-ii-2014	4-Jul-14	3.57061302493574
wy-senate-class-ii-2014	4-Jul-14	0.000433397235036649
